Threads,Average_Throughput(ops/sec)
1,30816.40
2,40754.70
4,40727.40
8,40376.60
16,36279.20
32,32903.10
48,31864.30
64,25210.20
72,25084.60
80,24438.70
88,24022.60
92,23758.90
