Threads,Average_Throughput(ops/sec)
1,4145.00
2,11939.80
4,11967.58
8,11082.60
16,9841.60
32,9612.80
48,8612.74
64,8623.20
72,8698.60
80,8456.36
88,8581.80
92,8402.54
