Threads,Average_Throughput(ops/sec)
1,31013.80
2,40797.40
4,40807.80
8,40740.60
16,36517.50
32,33370.60
48,31927.30
64,24581.70
72,24898.90
80,24648.40
88,24075.40
92,24056.50
