Threads,Average_Throughput(ops/sec)
1,3747.98
2,3166.22
4,3675.97
8,3730.35
16,3281.09
32,3275.00
48,3137.26
64,2430.04
72,2912.00
80,2511.50
88,2916.02
91,2572.73
