Threads,Average_Throughput(ops/sec)
1,3017.00
2,11531.78
4,12991.42
8,11343.76
16,9608.98
32,7787.16
48,8064.58
64,7692.14
72,7409.48
80,7544.16
88,7928.32
92,8189.32
