Threads,Average_Throughput(ops/sec)
1,7547.02
2,8474.78
4,8726.82
8,7086.54
16,7239.82
32,6551.28
48,4942.94
64,4893.96
72,4966.60
80,4906.76
88,4627.32
92,4880.84
